family,alpha,min_lookback,disabled,line,operator,value,meaning
price_volume,worldquant.alpha002,8,False,30,delta,2,跟 N 根之前的差值（原始是绝对差；中性化改造后不少因子已换成 pct_change，见 docs/LOOKBACK_WINDOW_MIGRATION.md 关联的那一轮修复）
price_volume,worldquant.alpha002,8,False,32,ts_corr,6,窗口内两个序列的滚动皮尔逊相关系数（对每条腿的线性缩放不敏感）
price_volume,worldquant.alpha003,10,False,48,rank_price,1,截面排名前先做 pct_change 归一化的安全替代，见 _common.rank_price
price_volume,worldquant.alpha003,10,False,48,ts_corr,10,窗口内两个序列的滚动皮尔逊相关系数（对每条腿的线性缩放不敏感）
price_volume,worldquant.alpha006,10,False,62,ts_corr,10,窗口内两个序列的滚动皮尔逊相关系数（对每条腿的线性缩放不敏感）
price_volume,worldquant.alpha011,4,False,79,ts_max,3,窗口内最大值
price_volume,worldquant.alpha011,4,False,79,ts_min,3,窗口内最小值（常见于“距自身滚动低点距离”类特征的分母）
price_volume,worldquant.alpha011,4,False,80,delta,3,跟 N 根之前的差值（原始是绝对差；中性化改造后不少因子已换成 pct_change，见 docs/LOOKBACK_WINDOW_MIGRATION.md 关联的那一轮修复）
price_volume,worldquant.alpha012,2,False,98,delta,1,跟 N 根之前的差值（原始是绝对差；中性化改造后不少因子已换成 pct_change，见 docs/LOOKBACK_WINDOW_MIGRATION.md 关联的那一轮修复）
price_volume,worldquant.alpha012,2,False,98,pct_change,1,跟 N 根之前的百分比涨跌幅（中性化改造引入的安全替代，见 _common.rank_price docstring）
price_volume,worldquant.alpha013,5,False,113,rank_price,1,截面排名前先做 pct_change 归一化的安全替代，见 _common.rank_price
price_volume,worldquant.alpha013,5,False,113,ts_cov,5,窗口内两个序列的滚动协方差（不像相关系数那样自带缩放）
price_volume,worldquant.alpha014,10,False,127,pct_change,1,跟 N 根之前的百分比涨跌幅（中性化改造引入的安全替代，见 _common.rank_price docstring）
